Game_Name, Game_Tag,Rank, Price
SPACERIFT: Arcanum System,Early Access  Massively Multiplayer  Open World  Sci-fi,201,9
Howdy Jacob!,Hidden Object  FMV  Dystopian   Dark Humor,202,10
Don't Be Afraid,First-Person  Horror  Survival  Walking Simulator,203,14
Fireworks Mania - An Explosive Simulator,Casual  Simulation  Indie  Sandbox,204,12
Geometric Sniper,FPS  Hidden Object  Hand-drawn  Casual,205,2.15
Terra Randoma,Traditional Roguelike  RPG  Indie  Early Access,206,14.5
Demian: The Ritual,Puzzle  Adventure  Point & Click  Dark,207,2.15
BATTLE ARENA: Robot Apocalypse,Early Access  Arena Shooter  Hero Shooter  Robots,208,2.15
LOCIS,Survival Horror  Roguelite  Procedural Generation  Exploration,209,10
Moi Mei 2,Early Access  Casual  Side Scroller  2D Platformer,210,9
Fight of Animals: Arena,Memes  PvP  4 Player Local  Multiplayer,211,13
Glory of Rome,Strategy  Rome  Building  City Builder,212,7.5
Phi,Casual  2D  Adventure  Top-Down,213,0
Hanoi Puzzles: Solid Match,Puzzle  Match 3  Hex Grid  Board Game,214,1.1
Colossus Down,Adventure  Local Multiplayer  Anime  Fighting,215,17
Soccer Manager 2021,Sports  Management  Football  Singleplayer,216,0
Dealer's Life 2,Trading  Memes  Management  Capitalism,217,10
ABYSS OF THE SACRIFICE,Visual Novel  Adventure  Story Rich  Anime,218,34
Franchise Hockey Manager 7,Strategy  Hockey  Sports  Simulation,219,34
Mermaid Adventures: The Magic Pearl,Casual  Adventure  Hidden Object  Match 3,220,6.5
Ken ga Kimi: Momoyo Tsuzuri,RPG  JRPG  Dating Sim  Visual Novel,221,42
The Chess Variants Club,Tabletop  Board Game  Simulation  Chess,222,4.25
Re-Nullum,Casual  Puzzle  2D  Minimalist,223,1.1
BeachHead 2020,Early Access  Combat  First-Person  On-Rails Shooter,224,18.5
Chess Knights: High Noon,Early Access  Western  Turn-Based Tactics  Puzzle,225,2.15
I Walk Among Zombies Vol. 3,Adventure  Visual Novel  Anime  Zombies,226,14.5
I Walk Among Zombies Vol. 0,Gore  Violent  Sexual Content  Adventure,227,9
SantaCraft,Collectathon  Exploration  Adventure  Sandbox,228,5.25
Slide Stories: Bonds & Memories,Casual  Romance  Puzzle  Cute,229,1.1
dstnce.,Adventure  2D Platformer  Singleplayer  Point & Click,230,1.07
Eternal Radiance,Adventure  Action  RPG  Female Protagonist,231,18.5
Dungeon Slime: Puzzle's Adventure,Puzzle  Strategy  Casual  Adventure,232,2.15
Calico,Casual  Cute  Indie  Simulation,233,12
SimPocalypse,Simulation  Survival  Indie  Clicker,234,4.99
Spellbreak,Magic  Fantasy  Battle Royale  PvP,235,0
Gears 5,Action  Adventure  Multiplayer  Third-Person Shooter,236,34.9
Leafling,JRPG  Hack and Slash  MMORPG  Dungeon Crawler,237,0
Samurai Revenge,Casual  2D Platformer  Character Action Game  Platformer,238,2.15
Pixross,Puzzle  Logic  Minimalist  Relaxing,239,4.25
Escape to Moscow,Casual  Adventure  Visual Novel  2D,240,0
Ho-Ho-Home Invasion,Stealth  Indie  Action  0,241,0
Quest: Escape Room 2,Adventure  Puzzle  Casual  Exploration,242,3.25
BOMJMAN,Indie  Action  Violent  Gore,243,16
Astro Sentai Jarbonder,Side Scroller  Bullet Hell  Shoot 'Em Up  Shooter,244,0
White Rabbit,Casual  Action  Puzzle  Indie,245,9
Fantasy Tavern Sextet -Vol.1 New World Days-,Sexual Content  Adventure  Nudity  Indie,246,13
Diggles: The Myth of Fenris,Adventure  Strategy  Mining  Colony Sim,247,10
Elmarion: Dragon's Princess,Adventure  RPG  Simulation  Dragons,248,10
Killer Sudoku,Casual  Strategy  Puzzle  2D,249,5.25
Fights in Tight Spaces (Prologue),Deckbuilding  Strategy  Turn-Based Tactics  Beat 'em up,250,0
Cyber Crush 2069,Casual  Simulation  Sexual Content  Dating Sim,251,2.15
Russian Reality,Memes  LGBTQ+  Comedy  Action,252,2.15
Hanako | ????,Adventure  Casual  Simulation  Action,253,8.5
Slave Princess Sarah,RPG  Indie  Casual  Sexual Content,254,14.5
Victoria Clair and the Mystery Express,Casual  Mystery  Puzzle  Cats,255,0
Drafting Tales,Casual  Simulation  Strategy  Indie,256,13
TheDawn,Action  Third-Person Shooter  Anime  Time Manipulation,257,0
Red Rage,Zombies  FPS  Dark  Singleplayer,258,3.25
THE GAME OF LIFE 2,Casual  Multiplayer  Family Friendly  Party Game,259,10
The Wind and Wilting Blossom,Indie  Strategy  RPG  Tactical,260,18.5
USSR Life,Casual  Simulation  Strategy  Adventure,261,1.1
Love Puzzle,Casual  Adventure  Anime  2D,262,2.15
One Circle,Casual  Indie  Puzzle  Cute,263,1.1
Lost Astronaut,Precision Platformer  Space  Spaceships  Electronic Music,264,1.1
Alba: A Wildlife Adventure,Casual  Female Protagonist  3D  Adventure,265,16
Seek Girl ?,Sexual Content  Casual  Indie  Nudity,266,2.15
Cash Horse - Match 3 Puzzle Adventure,Adventure  Casual  Action  Exploration,267,9
Heroes of Three Kingdoms,Early Access  Casual  Simulation  Strategy,268,10
THE NORMAL THING,2D  Adventure  Top-Down  Third Person,269,0
Rise Of Three Kingdoms,Strategy  Simulation  Turn-Based Strategy  Historical,270,14.5
Shady Part of Me,Indie  Female Protagonist  Platformer  Puzzle,271,17.9
Kinda Heroes: The cutest RPG ever!,RPG  Indie  Adventure  0,272,0
Emoji Evolution,Casual  Strategy  Comedy  Puzzle,273,5.25
Orwell's Animal Farm,Political  Hand-drawn  Emotional  Choose Your Own Adventure,274,10
Black Ido,Early Access  Noir  2D Platformer  Atmospheric,275,10
Ostrich Runner,Arcade  3D Platformer  Isometric  3D,276,7.5
100 hidden eternals,Casual  Adventure  Hidden Object  Puzzle,277,2.15
Cyberpunk 2077,Cyberpunk  Open World  RPG  Futuristic,278,69
